"SENTR7"	"flanking size (bp) = 108"	"pattern length (bp)  = 9"		"SENTR5"	"Flanking size (bp)  = 211"	"Pattern length (bp)  = 6"		"SENTR2"	"Flanking size (bp)  = 167"	"Pattern length = 39"		"SENTR4"	"Flanking size (bp)  = 91"	"Pattern length (bp)  = 7"		"SE-3"	"Flanking size (bp)  = 296"	"Pattern length (bp)  = 12"		"SENTR1"	"Flanking size (bp)  = 80"	"Pattern length (bp)  = 45"		"SE-7"	"Flanking size (bp)  = 229"	"Pattern length (bp)  = 61"		"SENTR6"	"Flanking size (bp) = 145"	"Pattern length (bp)  = 7"		"SENTR3"	"Flanking size (bp)  = 121"	"Pattern length (bp)  = 93"	
"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"
5618	"130.27"	3	135	5618	"261.22"	9	265	5618	"506.14"	9	518	5618	"117.1"	4	119	5618	"305.16"	1	308	5618	"420.27"	8	440	5618	"700.6"	8	717	5618	"167.72"	4	173	5618	"480.37"	4	493
5618	"130.29"	3	135	5618	"261.3"	9	265	5618	"506.14"	9	518	5618	"117.1"	4	119	5618	"305.18"	1	308	5618	"420.63"	8	440	5618	"700.6"	8	717	5618	"167.72"	4	173	5618	"480.54"	4	493
5619	"130.37"	3	135	5619	"297.2"	15	301	5619	"468.33"	8	479	5619	"117.2"	4	119	5619	"317.76"	2	320	5619	"420.37"	8	440	5619	"819.77"	10	839	5619	"174.99"	5	180	5619	"480.37"	4	493
5619	"130.45"	3	135	5619	"297.24"	15	301	5619	"468.53"	8	479	5619	"117.15"	4	119	5619	"317.7"	2	320	5619	"420.73"	8	440	5619	"820.22"	10	839	5619	"174.97"	5	180	5619	"480.55"	4	493
5620	"121.28"	2	126	5620	"273.21"	11	277	5620	"506.11"	9	518	5620	"109.89"	3	112	5620	"317.76"	2	320	5620	"420.28"	8	440	5620	"760.43"	9	778	5620	"175.78"	5	180	5620	"480.38"	4	493
5620	"121.27"	2	126	5620	"273.28"	11	277	5620	"506.33"	9	518	5620	"109.83"	3	112	5620	"317.8"	2	320	5620	"420.74"	8	440	5620	"760.95"	9	778	5620	"175.94"	5	180	5620	"480.55"	4	493
5621	"130.32"	3	135	5621	"285.28"	13	289	5621	"506.19"	9	518	5621	"117.2"	4	119	5621	"305.21"	1	309	5621	"420.46"	8	440	5621	"640.68"	7	656	5621	"174.93"	5	180	5621	"480.37"	4	493
5621	"130.38"	3	135	5621	"285.28"	13	289	5621	"506.32"	9	518	5621	"117.2"	4	119	5621	"305.26"	1	309	5621	"420.91"	8	440	5621	"641.26"	7	656	5621	"175.04"	5	180	5621	"480.73"	4	493
5622	"130.32"	3	135	5622	"267.21"	10	271	5622	"506.25"	9	518	5622	"117.2"	4	119	5622	"305.23"	1	309	5622	"420.63"	8	440	5622	"700.79"	8	717	5622	"182.88"	6	187	5622	"480.37"	4	493
5622	"130.38"	3	135	5622	"267.26"	10	271	5622	"506.34"	9	518	5622	"117.2"	4	119	5622	"305.28"	1	309	5622	"420.91"	8	440	5622	"701.28"	8	717	5622	"182.96"	6	187	5622	"480.55"	4	493
5623	"113.21"	1	117	5623	"261.13"	9	265	5623	"506.18"	9	518	5623	"109.87"	3	112	5623	"317.83"	2	320	5623	"420.64"	8	440	5623	"760.85"	9	778	5623	"189.05"	7	194	5623	"480.46"	4	493
5623	"113.22"	1	117	5623	"261.21"	9	265	5623	"506.27"	9	518	5623	"109.89"	3	112	5623	"317.83"	2	320	5623	"420.99"	8	440	5623	"761.36"	9	778	5623	"189.16"	7	194	5623	"480.63"	4	493
5624	"121.26"	2	126	5624	"291.27"	14	295	5624	"506.28"	9	518	5624	"109.85"	3	112	5624	"317.8"	2	320	5624	"420.73"	8	440	5624	"760.95"	9	778	5624	"203.8"	9	208	5624	"480.55"	4	493
5624	"121.35"	2	126	5624	"291.32"	14	295	5624	"506.32"	9	518	5624	"109.89"	3	112	5624	"317.8"	2	320	5624	"421.09"	8	440	5624	"761.26"	9	778	5624	"203.78"	9	208	5624	"480.82"	4	493
5625	"121.26"	2	126	5625	"273.25"	11	277	5625	"506.19"	9	518	5625	"109.87"	3	112	5625	"317.83"	2	320	5625	"420.73"	8	440	5625	"760.95"	9	778	5625	"211.2"	10	215	5625	"480.38"	4	493
5625	"121.35"	2	126	5625	"273.33"	11	277	5625	"506.27"	9	518	5625	"109.89"	3	112	5625	"317.83"	2	320	5625	"421.09"	8	440	5625	"761.36"	9	778	5625	"211.23"	10	215	5625	"481.38"	4	493
5626	"121.34"	2	126	5626	"279.26"	12	283	5626	"506.11"	9	518	5626	"109.81"	3	112	5626	"317.77"	2	320	5626	"420.63"	8	440	5626	"760.94"	9	778	5626	"225.58"	12	229	5626	"480.54"	4	493
5626	"121.35"	2	126	5626	"279.26"	12	283	5626	"506.09"	9	518	5626	"109.84"	3	112	5626	"317.77"	2	320	5626	"420.72"	8	440	5626	"760.72"	9	778	5626	"224.42"	12	229	5626	"480.36"	4	493
5627	"121.25"	2	126	5627	"231.38"	4	235	5627	"506.23"	9	518	5627	"124.34"	5	126	5627	0	0	0	5627	"420.82"	8	440	5627	"701.97"	8	717	5627	"204.16"	9	208	5627	"480.55"	4	493
5627	"121.24"	2	126	5627	"231.37"	4	235	5627	"506.29"	9	518	5627	"124.41"	5	126	5627	0	0	0	5627	"420.72"	8	440	5627	"701.96"	8	717	5627	"204.12"	9	208	5627	"480.54"	4	493
5628	"121.36"	2	126	5628	"243.24"	6	247	5628	"506.23"	9	518	5628	"124.48"	5	126	5628	"305.16"	1	308	5628	"420.73"	8	440	5628	"701.89"	8	717	5628	"182.03"	6	187	5628	"480.55"	4	493
5628	"121.26"	2	126	5628	"243.11"	6	247	5628	"506.23"	9	518	5628	"124.44"	5	126	5628	"305.23"	1	308	5628	"420.64"	8	440	5628	"701.89"	8	717	5628	"182.96"	6	187	5628	"480.45"	4	493
5629	"121.25"	2	126	5629	"249.25"	7	253	5629	"506.28"	9	518	5629	"131.63"	6	133	5629	"305.17"	1	308	5629	"420.9"	8	440	5629	"581.22"	6	595	5629	"225.69"	12	229	5629	"480.55"	4	493
5629	"121.24"	2	126	5629	"249.25"	7	253	5629	"506.23"	9	518	5629	"131.65"	6	133	5629	"305.24"	1	308	5629	"420.81"	8	440	5629	"581.21"	6	595	5629	"225.68"	12	229	5629	"480.63"	4	493
